Hidden_dim: 12, Validation Loss: 3.0723, Validation Accuracy: 59.53%
Hidden_dim: 13, Validation Loss: 1.0030, Validation Accuracy: 78.59%
Hidden_dim: 14, Validation Loss: 1.0072, Validation Accuracy: 79.11%
Hidden_dim: 15, Validation Loss: 1.2591, Validation Accuracy: 74.58%
Hidden_dim: 16, Validation Loss: 0.4560, Validation Accuracy: 87.54%
Hidden_dim: 17, Validation Loss: 0.9054, Validation Accuracy: 81.25%
Hidden_dim: 18, Validation Loss: 0.9504, Validation Accuracy: 79.26%
Hidden_dim: 19, Validation Loss: 0.7695, Validation Accuracy: 83.13%
Hidden_dim: 20, Validation Loss: 1.2394, Validation Accuracy: 74.79%
Hidden_dim: 21, Validation Loss: 0.7397, Validation Accuracy: 82.65%
Hidden_dim: 22, Validation Loss: 0.6457, Validation Accuracy: 84.80%
Hidden_dim: 23, Validation Loss: 0.7672, Validation Accuracy: 82.71%
Hidden_dim: 24, Validation Loss: 0.6365, Validation Accuracy: 84.64%
Hidden_dim: 25, Validation Loss: 0.7544, Validation Accuracy: 82.94%
Hidden_dim: 26, Validation Loss: 0.7878, Validation Accuracy: 82.35%
Hidden_dim: 27, Validation Loss: 0.7191, Validation Accuracy: 83.15%
Hidden_dim: 28, Validation Loss: 0.5134, Validation Accuracy: 87.34%
Hidden_dim: 29, Validation Loss: 0.5295, Validation Accuracy: 86.85%
Hidden_dim: 30, Validation Loss: 0.7150, Validation Accuracy: 83.68%
Hidden_dim: 31, Validation Loss: 0.8560, Validation Accuracy: 80.55%
Hidden_dim: 32, Validation Loss: 0.5867, Validation Accuracy: 85.67%
Hidden_dim: 33, Validation Loss: 0.6267, Validation Accuracy: 84.61%
Hidden_dim: 34, Validation Loss: 0.7864, Validation Accuracy: 81.65%
Hidden_dim: 35, Validation Loss: 0.6853, Validation Accuracy: 83.60%
Hidden_dim: 36, Validation Loss: 0.4556, Validation Accuracy: 88.29%
Hidden_dim: 37, Validation Loss: 0.7385, Validation Accuracy: 83.09%
Hidden_dim: 38, Validation Loss: 0.5097, Validation Accuracy: 87.38%
Hidden_dim: 39, Validation Loss: 0.6105, Validation Accuracy: 85.46%
Hidden_dim: 40, Validation Loss: 0.6589, Validation Accuracy: 84.52%
Hidden_dim: 41, Validation Loss: 0.6099, Validation Accuracy: 85.50%
Hidden_dim: 42, Validation Loss: 0.6401, Validation Accuracy: 84.56%
Hidden_dim: 43, Validation Loss: 0.6010, Validation Accuracy: 85.63%
Hidden_dim: 44, Validation Loss: 0.6443, Validation Accuracy: 84.53%
Hidden_dim: 45, Validation Loss: 0.5069, Validation Accuracy: 87.10%
Hidden_dim: 46, Validation Loss: 0.5249, Validation Accuracy: 86.43%
Hidden_dim: 47, Validation Loss: 0.5732, Validation Accuracy: 86.52%
Hidden_dim: 48, Validation Loss: 1.1227, Validation Accuracy: 74.48%
