Hidden_dim: 12, Validation Loss: 8.9631, Validation Accuracy: 36.18%
Hidden_dim: 13, Validation Loss: 5.7470, Validation Accuracy: 48.89%
Hidden_dim: 14, Validation Loss: 5.2920, Validation Accuracy: 49.75%
Hidden_dim: 15, Validation Loss: 9.0107, Validation Accuracy: 40.35%
Hidden_dim: 16, Validation Loss: 6.7997, Validation Accuracy: 38.42%
Hidden_dim: 17, Validation Loss: 6.6963, Validation Accuracy: 45.01%
Hidden_dim: 18, Validation Loss: 6.3075, Validation Accuracy: 48.19%
Hidden_dim: 19, Validation Loss: 8.3451, Validation Accuracy: 39.50%
Hidden_dim: 20, Validation Loss: 6.6597, Validation Accuracy: 42.52%
Hidden_dim: 21, Validation Loss: 5.9996, Validation Accuracy: 46.58%
Hidden_dim: 22, Validation Loss: 4.4435, Validation Accuracy: 53.80%
Hidden_dim: 23, Validation Loss: 7.2552, Validation Accuracy: 36.45%
Hidden_dim: 24, Validation Loss: 4.0813, Validation Accuracy: 52.04%
Hidden_dim: 25, Validation Loss: 3.1053, Validation Accuracy: 59.59%
Hidden_dim: 26, Validation Loss: 4.8966, Validation Accuracy: 49.71%
Hidden_dim: 27, Validation Loss: 4.8606, Validation Accuracy: 49.11%
Hidden_dim: 28, Validation Loss: 5.1713, Validation Accuracy: 45.46%
Hidden_dim: 29, Validation Loss: 3.6315, Validation Accuracy: 57.69%
Hidden_dim: 30, Validation Loss: 7.7839, Validation Accuracy: 39.87%
Hidden_dim: 31, Validation Loss: 3.7276, Validation Accuracy: 55.02%
Hidden_dim: 32, Validation Loss: 2.6439, Validation Accuracy: 63.68%
Hidden_dim: 33, Validation Loss: 3.4007, Validation Accuracy: 56.20%
Hidden_dim: 34, Validation Loss: 4.6943, Validation Accuracy: 51.23%
Hidden_dim: 35, Validation Loss: 4.3670, Validation Accuracy: 51.49%
Hidden_dim: 36, Validation Loss: 5.9282, Validation Accuracy: 42.80%
Hidden_dim: 37, Validation Loss: 3.7025, Validation Accuracy: 57.22%
Hidden_dim: 38, Validation Loss: 3.4243, Validation Accuracy: 55.97%
Hidden_dim: 39, Validation Loss: 2.3177, Validation Accuracy: 64.95%
Hidden_dim: 40, Validation Loss: 3.0878, Validation Accuracy: 62.05%
Hidden_dim: 41, Validation Loss: 4.1285, Validation Accuracy: 52.51%
Hidden_dim: 42, Validation Loss: 6.6551, Validation Accuracy: 40.64%
Hidden_dim: 43, Validation Loss: 4.8393, Validation Accuracy: 48.58%
Hidden_dim: 44, Validation Loss: 4.1625, Validation Accuracy: 53.15%
Hidden_dim: 45, Validation Loss: 8.2548, Validation Accuracy: 35.45%
Hidden_dim: 46, Validation Loss: 5.0075, Validation Accuracy: 46.05%
Hidden_dim: 47, Validation Loss: 3.9082, Validation Accuracy: 55.31%
Hidden_dim: 48, Validation Loss: 2.1870, Validation Accuracy: 67.27%
