Hidden_dim: 12, Validation Loss: 3.1740, Validation Accuracy: 53.72%
Hidden_dim: 13, Validation Loss: 8.5319, Validation Accuracy: 27.79%
Hidden_dim: 14, Validation Loss: 9.6005, Validation Accuracy: 28.69%
Hidden_dim: 15, Validation Loss: 20.2991, Validation Accuracy: 19.48%
Hidden_dim: 16, Validation Loss: 12.5469, Validation Accuracy: 22.02%
Hidden_dim: 17, Validation Loss: 14.2669, Validation Accuracy: 17.85%
Hidden_dim: 18, Validation Loss: 2.8182, Validation Accuracy: 56.85%
Hidden_dim: 19, Validation Loss: 6.0176, Validation Accuracy: 39.22%
Hidden_dim: 20, Validation Loss: 8.9105, Validation Accuracy: 27.52%
Hidden_dim: 21, Validation Loss: 6.3659, Validation Accuracy: 35.93%
Hidden_dim: 22, Validation Loss: 6.7121, Validation Accuracy: 39.67%
Hidden_dim: 23, Validation Loss: 3.8124, Validation Accuracy: 56.33%
Hidden_dim: 24, Validation Loss: 8.4550, Validation Accuracy: 28.56%
Hidden_dim: 25, Validation Loss: 4.6222, Validation Accuracy: 44.69%
Hidden_dim: 26, Validation Loss: 6.4280, Validation Accuracy: 35.91%
Hidden_dim: 27, Validation Loss: 1.7437, Validation Accuracy: 65.57%
Hidden_dim: 28, Validation Loss: 9.0058, Validation Accuracy: 26.96%
Hidden_dim: 29, Validation Loss: 7.3559, Validation Accuracy: 34.24%
Hidden_dim: 30, Validation Loss: 9.5525, Validation Accuracy: 26.49%
Hidden_dim: 31, Validation Loss: 14.3602, Validation Accuracy: 19.87%
Hidden_dim: 32, Validation Loss: 3.2546, Validation Accuracy: 58.34%
Hidden_dim: 33, Validation Loss: 8.4488, Validation Accuracy: 31.44%
Hidden_dim: 34, Validation Loss: 10.9968, Validation Accuracy: 23.71%
Hidden_dim: 35, Validation Loss: 11.7079, Validation Accuracy: 23.37%
Hidden_dim: 36, Validation Loss: 4.2963, Validation Accuracy: 46.68%
Hidden_dim: 37, Validation Loss: 8.5798, Validation Accuracy: 29.95%
Hidden_dim: 38, Validation Loss: 8.7903, Validation Accuracy: 30.08%
Hidden_dim: 39, Validation Loss: 4.6302, Validation Accuracy: 46.31%
Hidden_dim: 40, Validation Loss: 3.3674, Validation Accuracy: 53.43%
Hidden_dim: 41, Validation Loss: 5.6066, Validation Accuracy: 40.26%
Hidden_dim: 42, Validation Loss: 5.4361, Validation Accuracy: 41.33%
Hidden_dim: 43, Validation Loss: 4.2478, Validation Accuracy: 47.41%
Hidden_dim: 44, Validation Loss: 8.9142, Validation Accuracy: 28.60%
Hidden_dim: 45, Validation Loss: 4.1932, Validation Accuracy: 52.64%
Hidden_dim: 46, Validation Loss: 7.6605, Validation Accuracy: 32.23%
Hidden_dim: 47, Validation Loss: 6.2506, Validation Accuracy: 38.53%
Hidden_dim: 48, Validation Loss: 4.6055, Validation Accuracy: 46.84%
