Hidden_dim: 12, Validation Loss: 12.2022, Validation Accuracy: 31.18%
Hidden_dim: 13, Validation Loss: 11.8228, Validation Accuracy: 33.15%
Hidden_dim: 14, Validation Loss: 16.6670, Validation Accuracy: 27.64%
Hidden_dim: 15, Validation Loss: 16.8310, Validation Accuracy: 23.60%
Hidden_dim: 16, Validation Loss: 18.8554, Validation Accuracy: 26.54%
Hidden_dim: 17, Validation Loss: 23.7607, Validation Accuracy: 24.10%
Hidden_dim: 18, Validation Loss: 14.1587, Validation Accuracy: 31.17%
Hidden_dim: 19, Validation Loss: 13.3534, Validation Accuracy: 30.55%
Hidden_dim: 20, Validation Loss: 8.8251, Validation Accuracy: 35.97%
Hidden_dim: 21, Validation Loss: 14.7571, Validation Accuracy: 23.97%
Hidden_dim: 22, Validation Loss: 13.8277, Validation Accuracy: 29.90%
Hidden_dim: 23, Validation Loss: 9.4936, Validation Accuracy: 33.90%
Hidden_dim: 24, Validation Loss: 10.8998, Validation Accuracy: 35.51%
Hidden_dim: 25, Validation Loss: 9.2689, Validation Accuracy: 34.55%
Hidden_dim: 26, Validation Loss: 16.0162, Validation Accuracy: 28.85%
Hidden_dim: 27, Validation Loss: 8.8266, Validation Accuracy: 36.64%
Hidden_dim: 28, Validation Loss: 13.3545, Validation Accuracy: 26.30%
Hidden_dim: 29, Validation Loss: 10.4895, Validation Accuracy: 32.42%
Hidden_dim: 30, Validation Loss: 14.4347, Validation Accuracy: 29.45%
Hidden_dim: 31, Validation Loss: 14.5244, Validation Accuracy: 29.48%
Hidden_dim: 32, Validation Loss: 12.2485, Validation Accuracy: 30.59%
Hidden_dim: 33, Validation Loss: 12.3587, Validation Accuracy: 31.97%
Hidden_dim: 34, Validation Loss: 12.7725, Validation Accuracy: 31.39%
Hidden_dim: 35, Validation Loss: 7.8458, Validation Accuracy: 37.00%
Hidden_dim: 36, Validation Loss: 6.4242, Validation Accuracy: 40.03%
Hidden_dim: 37, Validation Loss: 12.2701, Validation Accuracy: 35.44%
Hidden_dim: 38, Validation Loss: 6.7937, Validation Accuracy: 40.66%
Hidden_dim: 39, Validation Loss: 11.3043, Validation Accuracy: 33.94%
Hidden_dim: 40, Validation Loss: 7.2320, Validation Accuracy: 40.56%
Hidden_dim: 41, Validation Loss: 11.3473, Validation Accuracy: 34.72%
Hidden_dim: 42, Validation Loss: 7.8541, Validation Accuracy: 37.10%
Hidden_dim: 43, Validation Loss: 9.4322, Validation Accuracy: 35.36%
Hidden_dim: 44, Validation Loss: 7.8934, Validation Accuracy: 37.26%
Hidden_dim: 45, Validation Loss: 14.0155, Validation Accuracy: 30.66%
Hidden_dim: 46, Validation Loss: 11.3057, Validation Accuracy: 33.51%
Hidden_dim: 47, Validation Loss: 13.4635, Validation Accuracy: 31.29%
Hidden_dim: 48, Validation Loss: 8.4231, Validation Accuracy: 34.45%
