Hidden_dim: 12, Validation Loss: 1.3131, Validation Accuracy: 68.57%
Hidden_dim: 13, Validation Loss: 2.5721, Validation Accuracy: 59.37%
Hidden_dim: 14, Validation Loss: 1.3499, Validation Accuracy: 69.97%
Hidden_dim: 15, Validation Loss: 1.3691, Validation Accuracy: 67.97%
Hidden_dim: 16, Validation Loss: 4.3721, Validation Accuracy: 55.56%
Hidden_dim: 17, Validation Loss: 0.9360, Validation Accuracy: 71.39%
Hidden_dim: 18, Validation Loss: 1.0781, Validation Accuracy: 67.18%
Hidden_dim: 19, Validation Loss: 1.1088, Validation Accuracy: 70.17%
Hidden_dim: 20, Validation Loss: 1.2863, Validation Accuracy: 69.93%
Hidden_dim: 21, Validation Loss: 1.0270, Validation Accuracy: 69.95%
Hidden_dim: 22, Validation Loss: 0.9843, Validation Accuracy: 70.65%
Hidden_dim: 23, Validation Loss: 0.9930, Validation Accuracy: 72.53%
Hidden_dim: 24, Validation Loss: 1.3377, Validation Accuracy: 68.62%
Hidden_dim: 25, Validation Loss: 1.4556, Validation Accuracy: 68.06%
Hidden_dim: 26, Validation Loss: 1.1756, Validation Accuracy: 68.80%
Hidden_dim: 27, Validation Loss: 1.2027, Validation Accuracy: 69.15%
Hidden_dim: 28, Validation Loss: 1.0870, Validation Accuracy: 69.73%
Hidden_dim: 29, Validation Loss: 1.5608, Validation Accuracy: 66.78%
Hidden_dim: 30, Validation Loss: 1.6679, Validation Accuracy: 65.88%
Hidden_dim: 31, Validation Loss: 1.7611, Validation Accuracy: 64.57%
Hidden_dim: 32, Validation Loss: 2.6346, Validation Accuracy: 60.45%
Hidden_dim: 33, Validation Loss: 1.7065, Validation Accuracy: 65.55%
Hidden_dim: 34, Validation Loss: 1.2679, Validation Accuracy: 68.31%
Hidden_dim: 35, Validation Loss: 1.6181, Validation Accuracy: 65.92%
Hidden_dim: 36, Validation Loss: 1.3413, Validation Accuracy: 68.30%
Hidden_dim: 37, Validation Loss: 1.5810, Validation Accuracy: 67.13%
Hidden_dim: 38, Validation Loss: 1.6187, Validation Accuracy: 68.18%
Hidden_dim: 39, Validation Loss: 2.2894, Validation Accuracy: 62.23%
Hidden_dim: 40, Validation Loss: 2.0519, Validation Accuracy: 64.05%
Hidden_dim: 41, Validation Loss: 1.9936, Validation Accuracy: 63.70%
Hidden_dim: 42, Validation Loss: 2.0921, Validation Accuracy: 63.19%
Hidden_dim: 43, Validation Loss: 2.1297, Validation Accuracy: 62.81%
Hidden_dim: 44, Validation Loss: 1.3356, Validation Accuracy: 68.62%
Hidden_dim: 45, Validation Loss: 1.0941, Validation Accuracy: 70.00%
Hidden_dim: 46, Validation Loss: 1.2603, Validation Accuracy: 68.88%
Hidden_dim: 47, Validation Loss: 1.7457, Validation Accuracy: 65.51%
Hidden_dim: 48, Validation Loss: 1.0535, Validation Accuracy: 71.76%
