Hidden_dim: 12, Validation Loss: 5.2990, Validation Accuracy: 49.57%
Hidden_dim: 13, Validation Loss: 7.6840, Validation Accuracy: 35.70%
Hidden_dim: 14, Validation Loss: 6.6297, Validation Accuracy: 42.46%
Hidden_dim: 15, Validation Loss: 4.7504, Validation Accuracy: 43.32%
Hidden_dim: 16, Validation Loss: 2.7798, Validation Accuracy: 60.33%
Hidden_dim: 17, Validation Loss: 6.4623, Validation Accuracy: 39.40%
Hidden_dim: 18, Validation Loss: 3.0826, Validation Accuracy: 59.76%
Hidden_dim: 19, Validation Loss: 2.2123, Validation Accuracy: 63.75%
Hidden_dim: 20, Validation Loss: 7.2674, Validation Accuracy: 34.78%
Hidden_dim: 21, Validation Loss: 2.5143, Validation Accuracy: 59.87%
Hidden_dim: 22, Validation Loss: 1.2293, Validation Accuracy: 72.42%
Hidden_dim: 23, Validation Loss: 2.2933, Validation Accuracy: 63.01%
Hidden_dim: 24, Validation Loss: 7.8655, Validation Accuracy: 34.18%
Hidden_dim: 25, Validation Loss: 4.0587, Validation Accuracy: 53.95%
Hidden_dim: 26, Validation Loss: 2.9618, Validation Accuracy: 58.07%
Hidden_dim: 27, Validation Loss: 3.0611, Validation Accuracy: 56.83%
Hidden_dim: 28, Validation Loss: 3.3499, Validation Accuracy: 51.90%
Hidden_dim: 29, Validation Loss: 3.0147, Validation Accuracy: 58.36%
Hidden_dim: 30, Validation Loss: 4.4963, Validation Accuracy: 49.19%
Hidden_dim: 31, Validation Loss: 2.7768, Validation Accuracy: 57.64%
Hidden_dim: 32, Validation Loss: 3.5045, Validation Accuracy: 55.96%
Hidden_dim: 33, Validation Loss: 3.3409, Validation Accuracy: 56.30%
Hidden_dim: 34, Validation Loss: 7.3500, Validation Accuracy: 37.84%
Hidden_dim: 35, Validation Loss: 4.9095, Validation Accuracy: 46.02%
Hidden_dim: 36, Validation Loss: 2.0525, Validation Accuracy: 64.48%
Hidden_dim: 37, Validation Loss: 2.8852, Validation Accuracy: 57.32%
Hidden_dim: 38, Validation Loss: 5.5787, Validation Accuracy: 46.35%
Hidden_dim: 39, Validation Loss: 4.8282, Validation Accuracy: 47.28%
Hidden_dim: 40, Validation Loss: 5.6719, Validation Accuracy: 44.96%
Hidden_dim: 41, Validation Loss: 3.0938, Validation Accuracy: 57.17%
Hidden_dim: 42, Validation Loss: 3.2349, Validation Accuracy: 57.00%
Hidden_dim: 43, Validation Loss: 4.2880, Validation Accuracy: 50.05%
Hidden_dim: 44, Validation Loss: 2.6188, Validation Accuracy: 61.39%
Hidden_dim: 45, Validation Loss: 3.4787, Validation Accuracy: 54.37%
Hidden_dim: 46, Validation Loss: 4.0283, Validation Accuracy: 46.09%
Hidden_dim: 47, Validation Loss: 2.9286, Validation Accuracy: 56.63%
Hidden_dim: 48, Validation Loss: 1.5627, Validation Accuracy: 69.67%
