Hidden_dim: 12, Validation Loss: 1.7081, Validation Accuracy: 69.67%
Hidden_dim: 13, Validation Loss: 2.1276, Validation Accuracy: 65.57%
Hidden_dim: 14, Validation Loss: 1.6590, Validation Accuracy: 69.03%
Hidden_dim: 15, Validation Loss: 1.7688, Validation Accuracy: 67.21%
Hidden_dim: 16, Validation Loss: 1.7494, Validation Accuracy: 66.06%
Hidden_dim: 17, Validation Loss: 1.7536, Validation Accuracy: 69.89%
Hidden_dim: 18, Validation Loss: 1.7271, Validation Accuracy: 69.80%
Hidden_dim: 19, Validation Loss: 2.0852, Validation Accuracy: 64.32%
Hidden_dim: 20, Validation Loss: 1.9742, Validation Accuracy: 66.46%
Hidden_dim: 21, Validation Loss: 2.0327, Validation Accuracy: 66.38%
Hidden_dim: 22, Validation Loss: 2.2269, Validation Accuracy: 65.04%
Hidden_dim: 23, Validation Loss: 1.7365, Validation Accuracy: 69.25%
Hidden_dim: 24, Validation Loss: 1.7203, Validation Accuracy: 68.68%
Hidden_dim: 25, Validation Loss: 1.8274, Validation Accuracy: 66.62%
Hidden_dim: 26, Validation Loss: 1.9827, Validation Accuracy: 67.94%
Hidden_dim: 27, Validation Loss: 1.8372, Validation Accuracy: 67.14%
Hidden_dim: 28, Validation Loss: 1.8756, Validation Accuracy: 67.11%
Hidden_dim: 29, Validation Loss: 1.7863, Validation Accuracy: 68.01%
Hidden_dim: 30, Validation Loss: 1.7074, Validation Accuracy: 68.26%
Hidden_dim: 31, Validation Loss: 1.8176, Validation Accuracy: 67.15%
Hidden_dim: 32, Validation Loss: 1.7440, Validation Accuracy: 68.62%
Hidden_dim: 33, Validation Loss: 1.7588, Validation Accuracy: 69.14%
Hidden_dim: 34, Validation Loss: 1.7246, Validation Accuracy: 69.24%
Hidden_dim: 35, Validation Loss: 1.7692, Validation Accuracy: 68.01%
Hidden_dim: 36, Validation Loss: 1.9250, Validation Accuracy: 65.85%
Hidden_dim: 37, Validation Loss: 1.9390, Validation Accuracy: 66.74%
Hidden_dim: 38, Validation Loss: 1.8914, Validation Accuracy: 67.98%
Hidden_dim: 39, Validation Loss: 1.8607, Validation Accuracy: 67.63%
Hidden_dim: 40, Validation Loss: 1.9570, Validation Accuracy: 66.33%
Hidden_dim: 41, Validation Loss: 1.9986, Validation Accuracy: 66.82%
Hidden_dim: 42, Validation Loss: 1.9056, Validation Accuracy: 67.05%
Hidden_dim: 43, Validation Loss: 1.7248, Validation Accuracy: 68.58%
Hidden_dim: 44, Validation Loss: 1.7044, Validation Accuracy: 68.64%
Hidden_dim: 45, Validation Loss: 1.7596, Validation Accuracy: 68.91%
Hidden_dim: 46, Validation Loss: 1.8328, Validation Accuracy: 67.31%
Hidden_dim: 47, Validation Loss: 1.7939, Validation Accuracy: 67.92%
Hidden_dim: 48, Validation Loss: 1.4997, Validation Accuracy: 69.83%
