Hidden_dim: 12, Validation Loss: 5.7194, Validation Accuracy: 41.14%
Hidden_dim: 13, Validation Loss: 7.4012, Validation Accuracy: 36.22%
Hidden_dim: 14, Validation Loss: 2.7470, Validation Accuracy: 59.33%
Hidden_dim: 15, Validation Loss: 2.6416, Validation Accuracy: 65.28%
Hidden_dim: 16, Validation Loss: 2.3710, Validation Accuracy: 62.81%
Hidden_dim: 17, Validation Loss: 1.5011, Validation Accuracy: 70.80%
Hidden_dim: 18, Validation Loss: 1.2996, Validation Accuracy: 76.56%
Hidden_dim: 19, Validation Loss: 1.3826, Validation Accuracy: 72.32%
Hidden_dim: 20, Validation Loss: 1.9489, Validation Accuracy: 64.45%
Hidden_dim: 21, Validation Loss: 1.5596, Validation Accuracy: 73.54%
Hidden_dim: 22, Validation Loss: 2.0557, Validation Accuracy: 70.77%
Hidden_dim: 23, Validation Loss: 2.8868, Validation Accuracy: 59.17%
Hidden_dim: 24, Validation Loss: 1.5287, Validation Accuracy: 70.20%
Hidden_dim: 25, Validation Loss: 2.1409, Validation Accuracy: 68.68%
Hidden_dim: 26, Validation Loss: 1.5934, Validation Accuracy: 71.16%
Hidden_dim: 27, Validation Loss: 2.3256, Validation Accuracy: 66.10%
Hidden_dim: 28, Validation Loss: 2.4841, Validation Accuracy: 63.23%
Hidden_dim: 29, Validation Loss: 0.8677, Validation Accuracy: 80.08%
Hidden_dim: 30, Validation Loss: 2.5303, Validation Accuracy: 64.00%
Hidden_dim: 31, Validation Loss: 1.3700, Validation Accuracy: 74.82%
Hidden_dim: 32, Validation Loss: 1.4751, Validation Accuracy: 70.42%
Hidden_dim: 33, Validation Loss: 1.1766, Validation Accuracy: 76.40%
Hidden_dim: 34, Validation Loss: 2.3360, Validation Accuracy: 66.53%
Hidden_dim: 35, Validation Loss: 2.5714, Validation Accuracy: 59.53%
Hidden_dim: 36, Validation Loss: 3.0591, Validation Accuracy: 57.10%
Hidden_dim: 37, Validation Loss: 2.9459, Validation Accuracy: 57.71%
Hidden_dim: 38, Validation Loss: 1.3156, Validation Accuracy: 74.90%
Hidden_dim: 39, Validation Loss: 2.8180, Validation Accuracy: 56.79%
Hidden_dim: 40, Validation Loss: 0.8999, Validation Accuracy: 78.94%
Hidden_dim: 41, Validation Loss: 1.7344, Validation Accuracy: 72.35%
Hidden_dim: 42, Validation Loss: 2.5638, Validation Accuracy: 62.52%
Hidden_dim: 43, Validation Loss: 1.7306, Validation Accuracy: 73.86%
Hidden_dim: 44, Validation Loss: 1.2514, Validation Accuracy: 73.85%
Hidden_dim: 45, Validation Loss: 1.3519, Validation Accuracy: 73.12%
Hidden_dim: 46, Validation Loss: 0.7555, Validation Accuracy: 80.73%
Hidden_dim: 47, Validation Loss: 0.8251, Validation Accuracy: 80.76%
Hidden_dim: 48, Validation Loss: 0.7100, Validation Accuracy: 79.54%
