Hidden_dim: 12, Validation Loss: 4.2957, Validation Accuracy: 53.38%
Hidden_dim: 13, Validation Loss: 5.5226, Validation Accuracy: 40.51%
Hidden_dim: 14, Validation Loss: 1.7488, Validation Accuracy: 73.54%
Hidden_dim: 15, Validation Loss: 1.3791, Validation Accuracy: 78.77%
Hidden_dim: 16, Validation Loss: 1.8519, Validation Accuracy: 70.00%
Hidden_dim: 17, Validation Loss: 1.3467, Validation Accuracy: 74.52%
Hidden_dim: 18, Validation Loss: 1.4937, Validation Accuracy: 75.75%
Hidden_dim: 19, Validation Loss: 1.6343, Validation Accuracy: 72.31%
Hidden_dim: 20, Validation Loss: 0.9487, Validation Accuracy: 79.32%
Hidden_dim: 21, Validation Loss: 2.1155, Validation Accuracy: 66.77%
Hidden_dim: 22, Validation Loss: 0.9420, Validation Accuracy: 78.96%
Hidden_dim: 23, Validation Loss: 1.1450, Validation Accuracy: 77.04%
Hidden_dim: 24, Validation Loss: 0.7353, Validation Accuracy: 83.44%
Hidden_dim: 25, Validation Loss: 1.0181, Validation Accuracy: 79.55%
Hidden_dim: 26, Validation Loss: 0.7817, Validation Accuracy: 82.54%
Hidden_dim: 27, Validation Loss: 0.8584, Validation Accuracy: 81.64%
Hidden_dim: 28, Validation Loss: 0.8285, Validation Accuracy: 81.23%
Hidden_dim: 29, Validation Loss: 0.5881, Validation Accuracy: 85.68%
Hidden_dim: 30, Validation Loss: 0.7931, Validation Accuracy: 82.05%
Hidden_dim: 31, Validation Loss: 0.5385, Validation Accuracy: 86.29%
Hidden_dim: 32, Validation Loss: 0.6625, Validation Accuracy: 84.65%
Hidden_dim: 33, Validation Loss: 0.7662, Validation Accuracy: 82.83%
Hidden_dim: 34, Validation Loss: 0.8084, Validation Accuracy: 81.91%
Hidden_dim: 35, Validation Loss: 0.8235, Validation Accuracy: 81.86%
Hidden_dim: 36, Validation Loss: 0.8270, Validation Accuracy: 81.76%
Hidden_dim: 37, Validation Loss: 0.5866, Validation Accuracy: 85.41%
Hidden_dim: 38, Validation Loss: 0.8782, Validation Accuracy: 81.02%
Hidden_dim: 39, Validation Loss: 0.6535, Validation Accuracy: 84.43%
Hidden_dim: 40, Validation Loss: 0.7520, Validation Accuracy: 83.49%
Hidden_dim: 41, Validation Loss: 0.5861, Validation Accuracy: 85.55%
Hidden_dim: 42, Validation Loss: 0.8003, Validation Accuracy: 82.36%
Hidden_dim: 43, Validation Loss: 0.6174, Validation Accuracy: 84.94%
Hidden_dim: 44, Validation Loss: 0.4129, Validation Accuracy: 88.92%
Hidden_dim: 45, Validation Loss: 0.5587, Validation Accuracy: 85.87%
Hidden_dim: 46, Validation Loss: 0.5434, Validation Accuracy: 86.28%
Hidden_dim: 47, Validation Loss: 0.6768, Validation Accuracy: 84.26%
Hidden_dim: 48, Validation Loss: 0.4631, Validation Accuracy: 87.17%
