Hidden_dim: 12, Validation Loss: 4.8898, Validation Accuracy: 46.01%
Hidden_dim: 13, Validation Loss: 5.4336, Validation Accuracy: 42.41%
Hidden_dim: 14, Validation Loss: 4.2939, Validation Accuracy: 48.54%
Hidden_dim: 15, Validation Loss: 3.4903, Validation Accuracy: 54.77%
Hidden_dim: 16, Validation Loss: 3.1872, Validation Accuracy: 57.82%
Hidden_dim: 17, Validation Loss: 5.0197, Validation Accuracy: 45.00%
Hidden_dim: 18, Validation Loss: 3.5394, Validation Accuracy: 53.91%
Hidden_dim: 19, Validation Loss: 4.7841, Validation Accuracy: 47.92%
Hidden_dim: 20, Validation Loss: 5.2391, Validation Accuracy: 45.06%
Hidden_dim: 21, Validation Loss: 4.5987, Validation Accuracy: 49.98%
Hidden_dim: 22, Validation Loss: 5.8665, Validation Accuracy: 42.15%
Hidden_dim: 23, Validation Loss: 4.0542, Validation Accuracy: 50.84%
Hidden_dim: 24, Validation Loss: 4.4276, Validation Accuracy: 48.64%
Hidden_dim: 25, Validation Loss: 5.1253, Validation Accuracy: 45.63%
Hidden_dim: 26, Validation Loss: 4.4451, Validation Accuracy: 48.16%
Hidden_dim: 27, Validation Loss: 3.2601, Validation Accuracy: 56.41%
Hidden_dim: 28, Validation Loss: 3.2345, Validation Accuracy: 55.47%
Hidden_dim: 29, Validation Loss: 4.1656, Validation Accuracy: 51.37%
Hidden_dim: 30, Validation Loss: 3.6300, Validation Accuracy: 56.57%
Hidden_dim: 31, Validation Loss: 2.8220, Validation Accuracy: 59.27%
Hidden_dim: 32, Validation Loss: 3.2542, Validation Accuracy: 56.47%
Hidden_dim: 33, Validation Loss: 3.7921, Validation Accuracy: 51.25%
Hidden_dim: 34, Validation Loss: 3.1011, Validation Accuracy: 57.32%
Hidden_dim: 35, Validation Loss: 2.9246, Validation Accuracy: 58.51%
Hidden_dim: 36, Validation Loss: 3.6281, Validation Accuracy: 54.14%
Hidden_dim: 37, Validation Loss: 4.1961, Validation Accuracy: 51.46%
Hidden_dim: 38, Validation Loss: 2.8104, Validation Accuracy: 58.98%
Hidden_dim: 39, Validation Loss: 3.3459, Validation Accuracy: 54.90%
Hidden_dim: 40, Validation Loss: 3.5733, Validation Accuracy: 53.97%
Hidden_dim: 41, Validation Loss: 4.0008, Validation Accuracy: 53.08%
Hidden_dim: 42, Validation Loss: 3.3533, Validation Accuracy: 56.15%
Hidden_dim: 43, Validation Loss: 3.6036, Validation Accuracy: 55.85%
Hidden_dim: 44, Validation Loss: 3.8033, Validation Accuracy: 53.94%
Hidden_dim: 45, Validation Loss: 3.7770, Validation Accuracy: 54.55%
Hidden_dim: 46, Validation Loss: 2.4385, Validation Accuracy: 62.76%
Hidden_dim: 47, Validation Loss: 3.3175, Validation Accuracy: 56.51%
Hidden_dim: 48, Validation Loss: 2.1743, Validation Accuracy: 64.00%
