Hidden_dim: 12, Validation Loss: 2.0258, Validation Accuracy: 66.93%
Hidden_dim: 13, Validation Loss: 1.5185, Validation Accuracy: 68.65%
Hidden_dim: 14, Validation Loss: 2.5936, Validation Accuracy: 63.10%
Hidden_dim: 15, Validation Loss: 2.3029, Validation Accuracy: 65.93%
Hidden_dim: 16, Validation Loss: 3.1364, Validation Accuracy: 59.82%
Hidden_dim: 17, Validation Loss: 1.2808, Validation Accuracy: 70.99%
Hidden_dim: 18, Validation Loss: 1.2692, Validation Accuracy: 70.91%
Hidden_dim: 19, Validation Loss: 1.5229, Validation Accuracy: 70.58%
Hidden_dim: 20, Validation Loss: 2.0402, Validation Accuracy: 66.91%
Hidden_dim: 21, Validation Loss: 1.7078, Validation Accuracy: 69.05%
Hidden_dim: 22, Validation Loss: 2.5843, Validation Accuracy: 63.90%
Hidden_dim: 23, Validation Loss: 1.8128, Validation Accuracy: 68.09%
Hidden_dim: 24, Validation Loss: 1.6838, Validation Accuracy: 69.42%
Hidden_dim: 25, Validation Loss: 1.4533, Validation Accuracy: 69.79%
Hidden_dim: 26, Validation Loss: 1.7835, Validation Accuracy: 67.60%
Hidden_dim: 27, Validation Loss: 1.5544, Validation Accuracy: 68.67%
Hidden_dim: 28, Validation Loss: 1.2933, Validation Accuracy: 69.94%
Hidden_dim: 29, Validation Loss: 1.5825, Validation Accuracy: 68.92%
Hidden_dim: 30, Validation Loss: 2.1426, Validation Accuracy: 66.92%
Hidden_dim: 31, Validation Loss: 1.9859, Validation Accuracy: 67.46%
Hidden_dim: 32, Validation Loss: 2.3199, Validation Accuracy: 65.91%
Hidden_dim: 33, Validation Loss: 1.4864, Validation Accuracy: 70.68%
Hidden_dim: 34, Validation Loss: 1.4236, Validation Accuracy: 69.62%
Hidden_dim: 35, Validation Loss: 1.4625, Validation Accuracy: 66.27%
Hidden_dim: 36, Validation Loss: 1.1887, Validation Accuracy: 69.48%
Hidden_dim: 37, Validation Loss: 1.5778, Validation Accuracy: 69.55%
Hidden_dim: 38, Validation Loss: 1.4467, Validation Accuracy: 69.97%
Hidden_dim: 39, Validation Loss: 1.2329, Validation Accuracy: 69.12%
Hidden_dim: 40, Validation Loss: 1.3303, Validation Accuracy: 68.34%
Hidden_dim: 41, Validation Loss: 1.2262, Validation Accuracy: 68.16%
Hidden_dim: 42, Validation Loss: 1.4290, Validation Accuracy: 69.31%
Hidden_dim: 43, Validation Loss: 1.2937, Validation Accuracy: 67.87%
Hidden_dim: 44, Validation Loss: 1.4556, Validation Accuracy: 70.16%
Hidden_dim: 45, Validation Loss: 1.6152, Validation Accuracy: 69.43%
Hidden_dim: 46, Validation Loss: 1.7567, Validation Accuracy: 68.56%
Hidden_dim: 47, Validation Loss: 1.4793, Validation Accuracy: 70.33%
Hidden_dim: 48, Validation Loss: 1.3643, Validation Accuracy: 68.80%
