Hidden_dim: 12, Validation Loss: 1.9803, Validation Accuracy: 65.49%
Hidden_dim: 13, Validation Loss: 3.4681, Validation Accuracy: 53.98%
Hidden_dim: 14, Validation Loss: 6.3106, Validation Accuracy: 40.05%
Hidden_dim: 15, Validation Loss: 1.4538, Validation Accuracy: 70.28%
Hidden_dim: 16, Validation Loss: 1.6395, Validation Accuracy: 67.54%
Hidden_dim: 17, Validation Loss: 1.3739, Validation Accuracy: 71.77%
Hidden_dim: 18, Validation Loss: 1.2342, Validation Accuracy: 72.76%
Hidden_dim: 19, Validation Loss: 1.6133, Validation Accuracy: 68.24%
Hidden_dim: 20, Validation Loss: 1.6025, Validation Accuracy: 68.77%
Hidden_dim: 21, Validation Loss: 3.1265, Validation Accuracy: 56.51%
Hidden_dim: 22, Validation Loss: 1.9583, Validation Accuracy: 65.68%
Hidden_dim: 23, Validation Loss: 2.6470, Validation Accuracy: 59.60%
Hidden_dim: 24, Validation Loss: 1.8865, Validation Accuracy: 66.91%
Hidden_dim: 25, Validation Loss: 2.1121, Validation Accuracy: 63.81%
Hidden_dim: 26, Validation Loss: 2.1645, Validation Accuracy: 63.74%
Hidden_dim: 27, Validation Loss: 1.7461, Validation Accuracy: 67.80%
Hidden_dim: 28, Validation Loss: 1.4909, Validation Accuracy: 70.27%
Hidden_dim: 29, Validation Loss: 4.1140, Validation Accuracy: 50.13%
Hidden_dim: 30, Validation Loss: 1.3440, Validation Accuracy: 71.63%
Hidden_dim: 31, Validation Loss: 1.3034, Validation Accuracy: 72.32%
Hidden_dim: 32, Validation Loss: 1.9305, Validation Accuracy: 66.29%
Hidden_dim: 33, Validation Loss: 1.3486, Validation Accuracy: 72.03%
Hidden_dim: 34, Validation Loss: 2.3170, Validation Accuracy: 62.63%
Hidden_dim: 35, Validation Loss: 1.4892, Validation Accuracy: 70.38%
Hidden_dim: 36, Validation Loss: 1.5747, Validation Accuracy: 69.26%
Hidden_dim: 37, Validation Loss: 1.6089, Validation Accuracy: 69.67%
Hidden_dim: 38, Validation Loss: 2.0529, Validation Accuracy: 64.76%
Hidden_dim: 39, Validation Loss: 1.3276, Validation Accuracy: 72.20%
Hidden_dim: 40, Validation Loss: 1.6927, Validation Accuracy: 68.34%
Hidden_dim: 41, Validation Loss: 1.4629, Validation Accuracy: 71.02%
Hidden_dim: 42, Validation Loss: 1.0945, Validation Accuracy: 74.08%
Hidden_dim: 43, Validation Loss: 1.5281, Validation Accuracy: 69.70%
Hidden_dim: 44, Validation Loss: 1.5458, Validation Accuracy: 69.30%
Hidden_dim: 45, Validation Loss: 1.4958, Validation Accuracy: 70.21%
Hidden_dim: 46, Validation Loss: 1.2753, Validation Accuracy: 72.46%
Hidden_dim: 47, Validation Loss: 1.6384, Validation Accuracy: 68.80%
Hidden_dim: 48, Validation Loss: 1.1766, Validation Accuracy: 73.04%
