Hidden_dim: 12, Validation Loss: 1.9499, Validation Accuracy: 64.24%
Hidden_dim: 13, Validation Loss: 2.2425, Validation Accuracy: 62.44%
Hidden_dim: 14, Validation Loss: 1.9513, Validation Accuracy: 61.92%
Hidden_dim: 15, Validation Loss: 1.7217, Validation Accuracy: 65.39%
Hidden_dim: 16, Validation Loss: 2.2848, Validation Accuracy: 56.63%
Hidden_dim: 17, Validation Loss: 1.6117, Validation Accuracy: 67.45%
Hidden_dim: 18, Validation Loss: 1.7802, Validation Accuracy: 65.33%
Hidden_dim: 19, Validation Loss: 2.0012, Validation Accuracy: 60.42%
Hidden_dim: 20, Validation Loss: 1.9867, Validation Accuracy: 58.19%
Hidden_dim: 21, Validation Loss: 1.8382, Validation Accuracy: 63.05%
Hidden_dim: 22, Validation Loss: 1.8011, Validation Accuracy: 59.37%
Hidden_dim: 23, Validation Loss: 1.7211, Validation Accuracy: 63.17%
Hidden_dim: 24, Validation Loss: 2.0253, Validation Accuracy: 59.88%
Hidden_dim: 25, Validation Loss: 1.7164, Validation Accuracy: 67.35%
Hidden_dim: 26, Validation Loss: 1.6383, Validation Accuracy: 63.16%
Hidden_dim: 27, Validation Loss: 1.7948, Validation Accuracy: 65.18%
Hidden_dim: 28, Validation Loss: 1.8281, Validation Accuracy: 63.57%
Hidden_dim: 29, Validation Loss: 1.6152, Validation Accuracy: 67.51%
Hidden_dim: 30, Validation Loss: 1.6603, Validation Accuracy: 62.32%
Hidden_dim: 31, Validation Loss: 1.5373, Validation Accuracy: 67.79%
Hidden_dim: 32, Validation Loss: 1.9585, Validation Accuracy: 65.03%
Hidden_dim: 33, Validation Loss: 1.4369, Validation Accuracy: 69.75%
Hidden_dim: 34, Validation Loss: 1.5678, Validation Accuracy: 65.21%
Hidden_dim: 35, Validation Loss: 1.5418, Validation Accuracy: 67.47%
Hidden_dim: 36, Validation Loss: 1.9477, Validation Accuracy: 62.21%
Hidden_dim: 37, Validation Loss: 1.8298, Validation Accuracy: 62.28%
Hidden_dim: 38, Validation Loss: 1.7741, Validation Accuracy: 62.36%
Hidden_dim: 39, Validation Loss: 2.0235, Validation Accuracy: 60.76%
Hidden_dim: 40, Validation Loss: 1.9024, Validation Accuracy: 62.57%
Hidden_dim: 41, Validation Loss: 1.6322, Validation Accuracy: 65.69%
Hidden_dim: 42, Validation Loss: 1.5677, Validation Accuracy: 66.35%
Hidden_dim: 43, Validation Loss: 1.8358, Validation Accuracy: 63.86%
Hidden_dim: 44, Validation Loss: 1.5783, Validation Accuracy: 67.54%
Hidden_dim: 45, Validation Loss: 1.7862, Validation Accuracy: 63.32%
Hidden_dim: 46, Validation Loss: 1.5937, Validation Accuracy: 67.29%
Hidden_dim: 47, Validation Loss: 1.7775, Validation Accuracy: 64.40%
Hidden_dim: 48, Validation Loss: 1.3116, Validation Accuracy: 70.29%
