Hidden_dim: 12, Validation Loss: 1.7718, Validation Accuracy: 78.33%
Hidden_dim: 13, Validation Loss: 1.5176, Validation Accuracy: 75.08%
Hidden_dim: 14, Validation Loss: 1.6462, Validation Accuracy: 76.42%
Hidden_dim: 15, Validation Loss: 1.4972, Validation Accuracy: 76.00%
Hidden_dim: 16, Validation Loss: 1.0124, Validation Accuracy: 82.33%
Hidden_dim: 17, Validation Loss: 1.6652, Validation Accuracy: 77.86%
Hidden_dim: 18, Validation Loss: 1.0082, Validation Accuracy: 81.56%
Hidden_dim: 19, Validation Loss: 1.5693, Validation Accuracy: 78.48%
Hidden_dim: 20, Validation Loss: 1.4921, Validation Accuracy: 80.23%
Hidden_dim: 21, Validation Loss: 1.6106, Validation Accuracy: 78.89%
Hidden_dim: 22, Validation Loss: 1.5533, Validation Accuracy: 78.04%
Hidden_dim: 23, Validation Loss: 1.1029, Validation Accuracy: 81.97%
Hidden_dim: 24, Validation Loss: 1.2649, Validation Accuracy: 80.93%
Hidden_dim: 25, Validation Loss: 1.3543, Validation Accuracy: 79.58%
Hidden_dim: 26, Validation Loss: 1.2795, Validation Accuracy: 78.91%
Hidden_dim: 27, Validation Loss: 1.3099, Validation Accuracy: 80.02%
Hidden_dim: 28, Validation Loss: 1.6221, Validation Accuracy: 76.26%
Hidden_dim: 29, Validation Loss: 1.1870, Validation Accuracy: 80.17%
Hidden_dim: 30, Validation Loss: 1.1425, Validation Accuracy: 81.09%
Hidden_dim: 31, Validation Loss: 1.4495, Validation Accuracy: 77.38%
Hidden_dim: 32, Validation Loss: 1.3743, Validation Accuracy: 79.04%
Hidden_dim: 33, Validation Loss: 1.3424, Validation Accuracy: 78.71%
Hidden_dim: 34, Validation Loss: 1.3805, Validation Accuracy: 80.67%
Hidden_dim: 35, Validation Loss: 1.1000, Validation Accuracy: 80.20%
Hidden_dim: 36, Validation Loss: 1.4247, Validation Accuracy: 79.89%
Hidden_dim: 37, Validation Loss: 1.2125, Validation Accuracy: 81.08%
Hidden_dim: 38, Validation Loss: 1.1157, Validation Accuracy: 81.02%
Hidden_dim: 39, Validation Loss: 1.2523, Validation Accuracy: 80.06%
Hidden_dim: 40, Validation Loss: 1.4151, Validation Accuracy: 78.29%
Hidden_dim: 41, Validation Loss: 1.5248, Validation Accuracy: 79.44%
Hidden_dim: 42, Validation Loss: 1.1792, Validation Accuracy: 80.67%
Hidden_dim: 43, Validation Loss: 1.4502, Validation Accuracy: 77.98%
Hidden_dim: 44, Validation Loss: 1.3554, Validation Accuracy: 79.68%
Hidden_dim: 45, Validation Loss: 1.3329, Validation Accuracy: 79.86%
Hidden_dim: 46, Validation Loss: 1.2064, Validation Accuracy: 80.90%
Hidden_dim: 47, Validation Loss: 1.4425, Validation Accuracy: 79.69%
Hidden_dim: 48, Validation Loss: 0.8101, Validation Accuracy: 82.57%
