Hidden_dim: 12, Validation Loss: 7.9427, Validation Accuracy: 39.67%
Hidden_dim: 13, Validation Loss: 11.2497, Validation Accuracy: 33.71%
Hidden_dim: 14, Validation Loss: 7.4238, Validation Accuracy: 40.93%
Hidden_dim: 15, Validation Loss: 7.4613, Validation Accuracy: 40.93%
Hidden_dim: 16, Validation Loss: 5.4177, Validation Accuracy: 44.84%
Hidden_dim: 17, Validation Loss: 11.2723, Validation Accuracy: 33.10%
Hidden_dim: 18, Validation Loss: 3.1078, Validation Accuracy: 56.13%
Hidden_dim: 19, Validation Loss: 10.1597, Validation Accuracy: 33.26%
Hidden_dim: 20, Validation Loss: 7.1129, Validation Accuracy: 42.97%
Hidden_dim: 21, Validation Loss: 6.7393, Validation Accuracy: 40.68%
Hidden_dim: 22, Validation Loss: 7.2132, Validation Accuracy: 41.56%
Hidden_dim: 23, Validation Loss: 4.2174, Validation Accuracy: 55.45%
Hidden_dim: 24, Validation Loss: 3.0825, Validation Accuracy: 59.92%
Hidden_dim: 25, Validation Loss: 5.2843, Validation Accuracy: 48.44%
Hidden_dim: 26, Validation Loss: 5.9554, Validation Accuracy: 47.48%
Hidden_dim: 27, Validation Loss: 6.5782, Validation Accuracy: 47.55%
Hidden_dim: 28, Validation Loss: 6.7476, Validation Accuracy: 45.51%
Hidden_dim: 29, Validation Loss: 5.5058, Validation Accuracy: 48.55%
Hidden_dim: 30, Validation Loss: 6.4838, Validation Accuracy: 46.63%
Hidden_dim: 31, Validation Loss: 8.2632, Validation Accuracy: 38.81%
Hidden_dim: 32, Validation Loss: 11.2094, Validation Accuracy: 32.38%
Hidden_dim: 33, Validation Loss: 8.2383, Validation Accuracy: 40.78%
Hidden_dim: 34, Validation Loss: 9.0740, Validation Accuracy: 36.97%
Hidden_dim: 35, Validation Loss: 7.1732, Validation Accuracy: 42.93%
Hidden_dim: 36, Validation Loss: 8.4196, Validation Accuracy: 40.54%
Hidden_dim: 37, Validation Loss: 7.4569, Validation Accuracy: 41.55%
Hidden_dim: 38, Validation Loss: 8.7391, Validation Accuracy: 38.56%
Hidden_dim: 39, Validation Loss: 4.8919, Validation Accuracy: 51.05%
Hidden_dim: 40, Validation Loss: 6.0537, Validation Accuracy: 46.43%
Hidden_dim: 41, Validation Loss: 4.7590, Validation Accuracy: 52.35%
Hidden_dim: 42, Validation Loss: 8.7936, Validation Accuracy: 37.77%
Hidden_dim: 43, Validation Loss: 4.1290, Validation Accuracy: 54.01%
Hidden_dim: 44, Validation Loss: 6.6121, Validation Accuracy: 45.31%
Hidden_dim: 45, Validation Loss: 5.8699, Validation Accuracy: 47.12%
Hidden_dim: 46, Validation Loss: 5.6190, Validation Accuracy: 47.03%
Hidden_dim: 47, Validation Loss: 8.8939, Validation Accuracy: 38.22%
Hidden_dim: 48, Validation Loss: 1.8774, Validation Accuracy: 66.51%
