Hidden_dim: 12, Validation Loss: 5.3438, Validation Accuracy: 46.38%
Hidden_dim: 13, Validation Loss: 1.4543, Validation Accuracy: 69.86%
Hidden_dim: 14, Validation Loss: 1.1795, Validation Accuracy: 72.60%
Hidden_dim: 15, Validation Loss: 1.3654, Validation Accuracy: 68.34%
Hidden_dim: 16, Validation Loss: 1.5789, Validation Accuracy: 62.32%
Hidden_dim: 17, Validation Loss: 4.0330, Validation Accuracy: 48.64%
Hidden_dim: 18, Validation Loss: 1.5429, Validation Accuracy: 66.81%
Hidden_dim: 19, Validation Loss: 1.6154, Validation Accuracy: 63.59%
Hidden_dim: 20, Validation Loss: 1.3965, Validation Accuracy: 69.78%
Hidden_dim: 21, Validation Loss: 1.2638, Validation Accuracy: 71.82%
Hidden_dim: 22, Validation Loss: 1.3168, Validation Accuracy: 71.44%
Hidden_dim: 23, Validation Loss: 0.6862, Validation Accuracy: 79.87%
Hidden_dim: 24, Validation Loss: 1.9155, Validation Accuracy: 64.83%
Hidden_dim: 25, Validation Loss: 1.3069, Validation Accuracy: 71.24%
Hidden_dim: 26, Validation Loss: 1.2680, Validation Accuracy: 71.79%
Hidden_dim: 27, Validation Loss: 1.0649, Validation Accuracy: 74.29%
Hidden_dim: 28, Validation Loss: 1.1813, Validation Accuracy: 73.98%
Hidden_dim: 29, Validation Loss: 1.4549, Validation Accuracy: 69.63%
Hidden_dim: 30, Validation Loss: 1.0442, Validation Accuracy: 74.15%
Hidden_dim: 31, Validation Loss: 1.0881, Validation Accuracy: 73.89%
Hidden_dim: 32, Validation Loss: 1.1800, Validation Accuracy: 72.74%
Hidden_dim: 33, Validation Loss: 1.3481, Validation Accuracy: 70.38%
Hidden_dim: 34, Validation Loss: 1.1830, Validation Accuracy: 72.24%
Hidden_dim: 35, Validation Loss: 1.4148, Validation Accuracy: 70.67%
Hidden_dim: 36, Validation Loss: 1.3200, Validation Accuracy: 70.33%
Hidden_dim: 37, Validation Loss: 1.3202, Validation Accuracy: 71.08%
Hidden_dim: 38, Validation Loss: 1.1146, Validation Accuracy: 73.07%
Hidden_dim: 39, Validation Loss: 1.1890, Validation Accuracy: 72.46%
Hidden_dim: 40, Validation Loss: 1.5298, Validation Accuracy: 68.83%
Hidden_dim: 41, Validation Loss: 1.2772, Validation Accuracy: 71.94%
Hidden_dim: 42, Validation Loss: 1.1812, Validation Accuracy: 72.32%
Hidden_dim: 43, Validation Loss: 1.5079, Validation Accuracy: 69.17%
Hidden_dim: 44, Validation Loss: 1.6796, Validation Accuracy: 67.12%
Hidden_dim: 45, Validation Loss: 1.1404, Validation Accuracy: 73.09%
Hidden_dim: 46, Validation Loss: 1.3239, Validation Accuracy: 70.49%
Hidden_dim: 47, Validation Loss: 1.6941, Validation Accuracy: 66.94%
Hidden_dim: 48, Validation Loss: 1.2033, Validation Accuracy: 71.53%
