Hidden_dim: 12, Validation Loss: 3.1034, Validation Accuracy: 58.13%
Hidden_dim: 13, Validation Loss: 6.2838, Validation Accuracy: 37.63%
Hidden_dim: 14, Validation Loss: 3.3531, Validation Accuracy: 57.74%
Hidden_dim: 15, Validation Loss: 3.8365, Validation Accuracy: 56.69%
Hidden_dim: 16, Validation Loss: 1.8404, Validation Accuracy: 68.49%
Hidden_dim: 17, Validation Loss: 4.3437, Validation Accuracy: 49.07%
Hidden_dim: 18, Validation Loss: 2.0135, Validation Accuracy: 65.52%
Hidden_dim: 19, Validation Loss: 3.4334, Validation Accuracy: 55.11%
Hidden_dim: 20, Validation Loss: 3.5710, Validation Accuracy: 53.29%
Hidden_dim: 21, Validation Loss: 3.4130, Validation Accuracy: 58.46%
Hidden_dim: 22, Validation Loss: 2.8744, Validation Accuracy: 62.08%
Hidden_dim: 23, Validation Loss: 3.2809, Validation Accuracy: 59.78%
Hidden_dim: 24, Validation Loss: 3.0540, Validation Accuracy: 60.41%
Hidden_dim: 25, Validation Loss: 3.6814, Validation Accuracy: 55.52%
Hidden_dim: 26, Validation Loss: 2.7629, Validation Accuracy: 61.87%
Hidden_dim: 27, Validation Loss: 2.7088, Validation Accuracy: 62.27%
Hidden_dim: 28, Validation Loss: 2.7577, Validation Accuracy: 61.27%
Hidden_dim: 29, Validation Loss: 3.6719, Validation Accuracy: 55.48%
Hidden_dim: 30, Validation Loss: 2.9036, Validation Accuracy: 61.44%
Hidden_dim: 31, Validation Loss: 3.0415, Validation Accuracy: 60.79%
Hidden_dim: 32, Validation Loss: 3.0041, Validation Accuracy: 59.77%
Hidden_dim: 33, Validation Loss: 3.1734, Validation Accuracy: 58.11%
Hidden_dim: 34, Validation Loss: 3.6102, Validation Accuracy: 55.06%
Hidden_dim: 35, Validation Loss: 2.6943, Validation Accuracy: 61.82%
Hidden_dim: 36, Validation Loss: 3.9260, Validation Accuracy: 54.13%
Hidden_dim: 37, Validation Loss: 3.3284, Validation Accuracy: 57.43%
Hidden_dim: 38, Validation Loss: 3.0697, Validation Accuracy: 60.99%
Hidden_dim: 39, Validation Loss: 3.5357, Validation Accuracy: 57.15%
Hidden_dim: 40, Validation Loss: 3.9417, Validation Accuracy: 54.10%
Hidden_dim: 41, Validation Loss: 3.3280, Validation Accuracy: 56.22%
Hidden_dim: 42, Validation Loss: 3.1949, Validation Accuracy: 58.33%
Hidden_dim: 43, Validation Loss: 3.0780, Validation Accuracy: 59.06%
Hidden_dim: 44, Validation Loss: 2.8248, Validation Accuracy: 61.36%
Hidden_dim: 45, Validation Loss: 3.4006, Validation Accuracy: 57.17%
Hidden_dim: 46, Validation Loss: 2.5385, Validation Accuracy: 63.12%
Hidden_dim: 47, Validation Loss: 3.1398, Validation Accuracy: 57.85%
Hidden_dim: 48, Validation Loss: 1.0382, Validation Accuracy: 78.60%
