Hidden_dim: 12, Validation Loss: 13.4008, Validation Accuracy: 48.38%
Hidden_dim: 13, Validation Loss: 8.5524, Validation Accuracy: 48.73%
Hidden_dim: 14, Validation Loss: 16.8995, Validation Accuracy: 28.61%
Hidden_dim: 15, Validation Loss: 12.3172, Validation Accuracy: 36.14%
Hidden_dim: 16, Validation Loss: 8.5360, Validation Accuracy: 43.27%
Hidden_dim: 17, Validation Loss: 10.6558, Validation Accuracy: 33.45%
Hidden_dim: 18, Validation Loss: 9.6651, Validation Accuracy: 27.55%
Hidden_dim: 19, Validation Loss: 15.6554, Validation Accuracy: 26.42%
Hidden_dim: 20, Validation Loss: 8.7620, Validation Accuracy: 41.61%
Hidden_dim: 21, Validation Loss: 9.3800, Validation Accuracy: 28.93%
Hidden_dim: 22, Validation Loss: 12.2721, Validation Accuracy: 26.12%
Hidden_dim: 23, Validation Loss: 6.9738, Validation Accuracy: 36.50%
Hidden_dim: 24, Validation Loss: 14.2131, Validation Accuracy: 45.53%
Hidden_dim: 25, Validation Loss: 10.6944, Validation Accuracy: 43.98%
Hidden_dim: 26, Validation Loss: 9.8889, Validation Accuracy: 31.85%
Hidden_dim: 27, Validation Loss: 10.2347, Validation Accuracy: 38.03%
Hidden_dim: 28, Validation Loss: 11.7972, Validation Accuracy: 45.74%
Hidden_dim: 29, Validation Loss: 8.9730, Validation Accuracy: 42.29%
Hidden_dim: 30, Validation Loss: 14.2341, Validation Accuracy: 30.17%
Hidden_dim: 31, Validation Loss: 10.0675, Validation Accuracy: 40.78%
Hidden_dim: 32, Validation Loss: 13.7527, Validation Accuracy: 35.84%
Hidden_dim: 33, Validation Loss: 14.9249, Validation Accuracy: 32.97%
Hidden_dim: 34, Validation Loss: 10.9317, Validation Accuracy: 45.17%
Hidden_dim: 35, Validation Loss: 11.3826, Validation Accuracy: 35.24%
Hidden_dim: 36, Validation Loss: 7.9124, Validation Accuracy: 39.79%
Hidden_dim: 37, Validation Loss: 10.6072, Validation Accuracy: 42.09%
Hidden_dim: 38, Validation Loss: 11.1614, Validation Accuracy: 41.97%
Hidden_dim: 39, Validation Loss: 9.0780, Validation Accuracy: 53.01%
Hidden_dim: 40, Validation Loss: 7.9093, Validation Accuracy: 41.43%
Hidden_dim: 41, Validation Loss: 12.7009, Validation Accuracy: 42.07%
Hidden_dim: 42, Validation Loss: 6.7953, Validation Accuracy: 38.74%
Hidden_dim: 43, Validation Loss: 10.5431, Validation Accuracy: 41.38%
Hidden_dim: 44, Validation Loss: 9.0442, Validation Accuracy: 45.61%
Hidden_dim: 45, Validation Loss: 10.1138, Validation Accuracy: 33.20%
Hidden_dim: 46, Validation Loss: 5.6089, Validation Accuracy: 45.81%
Hidden_dim: 47, Validation Loss: 6.8863, Validation Accuracy: 53.13%
Hidden_dim: 48, Validation Loss: 7.7069, Validation Accuracy: 40.49%
