Hidden_dim: 12, Validation Loss: 1.2346, Validation Accuracy: 72.07%
Hidden_dim: 13, Validation Loss: 2.0399, Validation Accuracy: 62.52%
Hidden_dim: 14, Validation Loss: 1.6664, Validation Accuracy: 67.04%
Hidden_dim: 15, Validation Loss: 1.8352, Validation Accuracy: 63.33%
Hidden_dim: 16, Validation Loss: 1.2926, Validation Accuracy: 69.24%
Hidden_dim: 17, Validation Loss: 1.6851, Validation Accuracy: 64.91%
Hidden_dim: 18, Validation Loss: 1.8128, Validation Accuracy: 64.36%
Hidden_dim: 19, Validation Loss: 2.1827, Validation Accuracy: 60.87%
Hidden_dim: 20, Validation Loss: 1.5972, Validation Accuracy: 66.97%
Hidden_dim: 21, Validation Loss: 1.3696, Validation Accuracy: 70.02%
Hidden_dim: 22, Validation Loss: 1.2358, Validation Accuracy: 71.69%
Hidden_dim: 23, Validation Loss: 0.9830, Validation Accuracy: 75.92%
Hidden_dim: 24, Validation Loss: 1.4240, Validation Accuracy: 69.54%
Hidden_dim: 25, Validation Loss: 1.5009, Validation Accuracy: 69.28%
Hidden_dim: 26, Validation Loss: 1.3085, Validation Accuracy: 71.54%
Hidden_dim: 27, Validation Loss: 1.4000, Validation Accuracy: 70.39%
Hidden_dim: 28, Validation Loss: 1.7895, Validation Accuracy: 66.46%
Hidden_dim: 29, Validation Loss: 1.5590, Validation Accuracy: 68.27%
Hidden_dim: 30, Validation Loss: 1.4931, Validation Accuracy: 69.17%
Hidden_dim: 31, Validation Loss: 1.3219, Validation Accuracy: 70.64%
Hidden_dim: 32, Validation Loss: 1.1366, Validation Accuracy: 73.95%
Hidden_dim: 33, Validation Loss: 1.2054, Validation Accuracy: 72.70%
Hidden_dim: 34, Validation Loss: 1.3230, Validation Accuracy: 71.19%
Hidden_dim: 35, Validation Loss: 1.3111, Validation Accuracy: 71.49%
Hidden_dim: 36, Validation Loss: 1.4216, Validation Accuracy: 69.89%
Hidden_dim: 37, Validation Loss: 1.1957, Validation Accuracy: 72.80%
Hidden_dim: 38, Validation Loss: 1.2055, Validation Accuracy: 72.84%
Hidden_dim: 39, Validation Loss: 1.0883, Validation Accuracy: 74.60%
Hidden_dim: 40, Validation Loss: 1.1837, Validation Accuracy: 72.75%
Hidden_dim: 41, Validation Loss: 1.2959, Validation Accuracy: 72.07%
Hidden_dim: 42, Validation Loss: 1.4700, Validation Accuracy: 69.86%
Hidden_dim: 43, Validation Loss: 1.5823, Validation Accuracy: 68.75%
Hidden_dim: 44, Validation Loss: 1.2544, Validation Accuracy: 72.46%
Hidden_dim: 45, Validation Loss: 1.3352, Validation Accuracy: 71.39%
Hidden_dim: 46, Validation Loss: 1.3677, Validation Accuracy: 71.22%
Hidden_dim: 47, Validation Loss: 1.5490, Validation Accuracy: 69.60%
Hidden_dim: 48, Validation Loss: 1.3041, Validation Accuracy: 70.65%
