Hidden_dim: 12, Validation Loss: 1.3607, Validation Accuracy: 66.51%
Hidden_dim: 13, Validation Loss: 1.3535, Validation Accuracy: 66.62%
Hidden_dim: 14, Validation Loss: 1.3687, Validation Accuracy: 67.84%
Hidden_dim: 15, Validation Loss: 1.3555, Validation Accuracy: 67.01%
Hidden_dim: 16, Validation Loss: 1.3737, Validation Accuracy: 66.86%
Hidden_dim: 17, Validation Loss: 1.3708, Validation Accuracy: 68.23%
Hidden_dim: 18, Validation Loss: 1.3588, Validation Accuracy: 67.60%
Hidden_dim: 19, Validation Loss: 1.3587, Validation Accuracy: 66.91%
Hidden_dim: 20, Validation Loss: 1.3861, Validation Accuracy: 68.27%
Hidden_dim: 21, Validation Loss: 1.4029, Validation Accuracy: 67.97%
Hidden_dim: 22, Validation Loss: 1.3711, Validation Accuracy: 67.14%
Hidden_dim: 23, Validation Loss: 1.4024, Validation Accuracy: 68.39%
Hidden_dim: 24, Validation Loss: 1.3568, Validation Accuracy: 67.72%
Hidden_dim: 25, Validation Loss: 1.3587, Validation Accuracy: 67.92%
Hidden_dim: 26, Validation Loss: 1.3556, Validation Accuracy: 67.75%
Hidden_dim: 27, Validation Loss: 1.3633, Validation Accuracy: 67.97%
Hidden_dim: 28, Validation Loss: 1.3827, Validation Accuracy: 68.47%
Hidden_dim: 29, Validation Loss: 1.3536, Validation Accuracy: 67.68%
Hidden_dim: 30, Validation Loss: 1.3669, Validation Accuracy: 67.58%
Hidden_dim: 31, Validation Loss: 1.3587, Validation Accuracy: 67.33%
Hidden_dim: 32, Validation Loss: 1.3576, Validation Accuracy: 67.57%
Hidden_dim: 33, Validation Loss: 1.3613, Validation Accuracy: 67.93%
Hidden_dim: 34, Validation Loss: 1.3677, Validation Accuracy: 67.70%
Hidden_dim: 35, Validation Loss: 1.3699, Validation Accuracy: 68.10%
Hidden_dim: 36, Validation Loss: 1.3587, Validation Accuracy: 67.61%
Hidden_dim: 37, Validation Loss: 1.3597, Validation Accuracy: 67.22%
Hidden_dim: 38, Validation Loss: 1.3651, Validation Accuracy: 67.74%
Hidden_dim: 39, Validation Loss: 1.3621, Validation Accuracy: 67.49%
Hidden_dim: 40, Validation Loss: 1.3488, Validation Accuracy: 67.78%
Hidden_dim: 41, Validation Loss: 1.3547, Validation Accuracy: 67.24%
Hidden_dim: 42, Validation Loss: 1.3466, Validation Accuracy: 66.62%
Hidden_dim: 43, Validation Loss: 1.3612, Validation Accuracy: 67.40%
Hidden_dim: 44, Validation Loss: 1.3617, Validation Accuracy: 67.31%
Hidden_dim: 45, Validation Loss: 1.3679, Validation Accuracy: 67.75%
Hidden_dim: 46, Validation Loss: 1.3711, Validation Accuracy: 67.80%
Hidden_dim: 47, Validation Loss: 1.3794, Validation Accuracy: 68.06%
Hidden_dim: 48, Validation Loss: 1.3303, Validation Accuracy: 67.46%
