Hidden_dim: 12, Validation Loss: 0.9361, Validation Accuracy: 79.26%
Hidden_dim: 13, Validation Loss: 1.0146, Validation Accuracy: 79.18%
Hidden_dim: 14, Validation Loss: 0.7331, Validation Accuracy: 82.35%
Hidden_dim: 15, Validation Loss: 0.9467, Validation Accuracy: 80.49%
Hidden_dim: 16, Validation Loss: 0.9431, Validation Accuracy: 77.59%
Hidden_dim: 17, Validation Loss: 0.8613, Validation Accuracy: 81.91%
Hidden_dim: 18, Validation Loss: 1.1929, Validation Accuracy: 74.17%
Hidden_dim: 19, Validation Loss: 0.8523, Validation Accuracy: 81.27%
Hidden_dim: 20, Validation Loss: 0.7966, Validation Accuracy: 83.22%
Hidden_dim: 21, Validation Loss: 0.9666, Validation Accuracy: 78.42%
Hidden_dim: 22, Validation Loss: 0.9499, Validation Accuracy: 79.39%
Hidden_dim: 23, Validation Loss: 0.8449, Validation Accuracy: 82.74%
Hidden_dim: 24, Validation Loss: 0.9980, Validation Accuracy: 80.41%
Hidden_dim: 25, Validation Loss: 0.8231, Validation Accuracy: 81.95%
Hidden_dim: 26, Validation Loss: 0.8048, Validation Accuracy: 81.32%
Hidden_dim: 27, Validation Loss: 0.9493, Validation Accuracy: 81.67%
Hidden_dim: 28, Validation Loss: 0.9528, Validation Accuracy: 80.55%
Hidden_dim: 29, Validation Loss: 0.9092, Validation Accuracy: 80.63%
Hidden_dim: 30, Validation Loss: 0.9642, Validation Accuracy: 80.28%
Hidden_dim: 31, Validation Loss: 0.8311, Validation Accuracy: 81.76%
Hidden_dim: 32, Validation Loss: 0.9172, Validation Accuracy: 80.06%
Hidden_dim: 33, Validation Loss: 1.0198, Validation Accuracy: 79.18%
Hidden_dim: 34, Validation Loss: 0.7687, Validation Accuracy: 82.38%
Hidden_dim: 35, Validation Loss: 0.9016, Validation Accuracy: 79.92%
Hidden_dim: 36, Validation Loss: 0.8974, Validation Accuracy: 81.33%
Hidden_dim: 37, Validation Loss: 0.7746, Validation Accuracy: 81.95%
Hidden_dim: 38, Validation Loss: 0.8215, Validation Accuracy: 82.04%
Hidden_dim: 39, Validation Loss: 0.7214, Validation Accuracy: 82.74%
Hidden_dim: 40, Validation Loss: 0.8698, Validation Accuracy: 81.12%
Hidden_dim: 41, Validation Loss: 0.7777, Validation Accuracy: 82.31%
Hidden_dim: 42, Validation Loss: 0.8149, Validation Accuracy: 82.43%
Hidden_dim: 43, Validation Loss: 0.9241, Validation Accuracy: 80.33%
Hidden_dim: 44, Validation Loss: 0.8570, Validation Accuracy: 81.87%
Hidden_dim: 45, Validation Loss: 0.7519, Validation Accuracy: 82.53%
Hidden_dim: 46, Validation Loss: 0.7946, Validation Accuracy: 81.99%
Hidden_dim: 47, Validation Loss: 0.8138, Validation Accuracy: 81.44%
Hidden_dim: 48, Validation Loss: 0.6616, Validation Accuracy: 82.07%
