Hidden_dim: 12, Validation Loss: 1.9490, Validation Accuracy: 67.22%
Hidden_dim: 13, Validation Loss: 1.8882, Validation Accuracy: 67.99%
Hidden_dim: 14, Validation Loss: 1.3023, Validation Accuracy: 72.88%
Hidden_dim: 15, Validation Loss: 1.3461, Validation Accuracy: 74.05%
Hidden_dim: 16, Validation Loss: 1.4273, Validation Accuracy: 69.54%
Hidden_dim: 17, Validation Loss: 1.7499, Validation Accuracy: 66.56%
Hidden_dim: 18, Validation Loss: 1.1745, Validation Accuracy: 73.39%
Hidden_dim: 19, Validation Loss: 1.2708, Validation Accuracy: 73.70%
Hidden_dim: 20, Validation Loss: 0.9078, Validation Accuracy: 78.98%
Hidden_dim: 21, Validation Loss: 0.9295, Validation Accuracy: 78.36%
Hidden_dim: 22, Validation Loss: 0.9276, Validation Accuracy: 77.95%
Hidden_dim: 23, Validation Loss: 0.8368, Validation Accuracy: 79.42%
Hidden_dim: 24, Validation Loss: 0.8508, Validation Accuracy: 79.92%
Hidden_dim: 25, Validation Loss: 0.7232, Validation Accuracy: 81.98%
Hidden_dim: 26, Validation Loss: 0.7004, Validation Accuracy: 82.02%
Hidden_dim: 27, Validation Loss: 0.5636, Validation Accuracy: 84.67%
Hidden_dim: 28, Validation Loss: 0.6703, Validation Accuracy: 82.65%
Hidden_dim: 29, Validation Loss: 0.7197, Validation Accuracy: 81.42%
Hidden_dim: 30, Validation Loss: 0.5688, Validation Accuracy: 84.52%
Hidden_dim: 31, Validation Loss: 0.5527, Validation Accuracy: 85.32%
Hidden_dim: 32, Validation Loss: 0.7069, Validation Accuracy: 81.77%
Hidden_dim: 33, Validation Loss: 0.8325, Validation Accuracy: 79.89%
Hidden_dim: 34, Validation Loss: 0.5540, Validation Accuracy: 85.07%
Hidden_dim: 35, Validation Loss: 0.4775, Validation Accuracy: 86.62%
Hidden_dim: 36, Validation Loss: 0.6840, Validation Accuracy: 82.37%
Hidden_dim: 37, Validation Loss: 0.6188, Validation Accuracy: 83.38%
Hidden_dim: 38, Validation Loss: 0.6337, Validation Accuracy: 82.86%
Hidden_dim: 39, Validation Loss: 0.6095, Validation Accuracy: 83.61%
Hidden_dim: 40, Validation Loss: 0.6177, Validation Accuracy: 83.58%
Hidden_dim: 41, Validation Loss: 0.6047, Validation Accuracy: 83.66%
Hidden_dim: 42, Validation Loss: 0.5295, Validation Accuracy: 85.47%
Hidden_dim: 43, Validation Loss: 0.5779, Validation Accuracy: 84.33%
Hidden_dim: 44, Validation Loss: 0.6644, Validation Accuracy: 82.58%
Hidden_dim: 45, Validation Loss: 0.5758, Validation Accuracy: 84.35%
Hidden_dim: 46, Validation Loss: 0.5768, Validation Accuracy: 84.24%
Hidden_dim: 47, Validation Loss: 0.5711, Validation Accuracy: 84.46%
Hidden_dim: 48, Validation Loss: 0.5459, Validation Accuracy: 84.43%
