Hidden_dim: 12, Validation Loss: 0.9018, Validation Accuracy: 81.34%
Hidden_dim: 13, Validation Loss: 1.0911, Validation Accuracy: 78.32%
Hidden_dim: 14, Validation Loss: 0.5568, Validation Accuracy: 86.75%
Hidden_dim: 15, Validation Loss: 0.5066, Validation Accuracy: 86.97%
Hidden_dim: 16, Validation Loss: 0.3554, Validation Accuracy: 90.19%
Hidden_dim: 17, Validation Loss: 0.4171, Validation Accuracy: 89.08%
Hidden_dim: 18, Validation Loss: 0.6277, Validation Accuracy: 85.06%
Hidden_dim: 19, Validation Loss: 0.7286, Validation Accuracy: 83.60%
Hidden_dim: 20, Validation Loss: 0.6067, Validation Accuracy: 86.27%
Hidden_dim: 21, Validation Loss: 0.5134, Validation Accuracy: 87.69%
Hidden_dim: 22, Validation Loss: 0.4324, Validation Accuracy: 88.94%
Hidden_dim: 23, Validation Loss: 0.4319, Validation Accuracy: 89.07%
Hidden_dim: 24, Validation Loss: 0.5321, Validation Accuracy: 87.35%
Hidden_dim: 25, Validation Loss: 0.4031, Validation Accuracy: 89.48%
Hidden_dim: 26, Validation Loss: 0.4666, Validation Accuracy: 88.20%
Hidden_dim: 27, Validation Loss: 0.3571, Validation Accuracy: 90.26%
Hidden_dim: 28, Validation Loss: 0.3574, Validation Accuracy: 90.30%
Hidden_dim: 29, Validation Loss: 0.4121, Validation Accuracy: 89.06%
Hidden_dim: 30, Validation Loss: 0.3747, Validation Accuracy: 89.80%
Hidden_dim: 31, Validation Loss: 0.3641, Validation Accuracy: 89.96%
Hidden_dim: 32, Validation Loss: 0.3569, Validation Accuracy: 90.24%
Hidden_dim: 33, Validation Loss: 0.4058, Validation Accuracy: 89.22%
Hidden_dim: 34, Validation Loss: 0.3602, Validation Accuracy: 90.38%
Hidden_dim: 35, Validation Loss: 0.3721, Validation Accuracy: 89.94%
Hidden_dim: 36, Validation Loss: 0.4066, Validation Accuracy: 89.47%
Hidden_dim: 37, Validation Loss: 0.4026, Validation Accuracy: 89.58%
Hidden_dim: 38, Validation Loss: 0.3638, Validation Accuracy: 90.35%
Hidden_dim: 39, Validation Loss: 0.3573, Validation Accuracy: 90.20%
Hidden_dim: 40, Validation Loss: 0.4182, Validation Accuracy: 89.12%
Hidden_dim: 41, Validation Loss: 0.3554, Validation Accuracy: 90.46%
Hidden_dim: 42, Validation Loss: 0.3722, Validation Accuracy: 90.11%
Hidden_dim: 43, Validation Loss: 0.3594, Validation Accuracy: 90.45%
Hidden_dim: 44, Validation Loss: 0.3881, Validation Accuracy: 89.69%
Hidden_dim: 45, Validation Loss: 0.3822, Validation Accuracy: 90.06%
Hidden_dim: 46, Validation Loss: 0.3515, Validation Accuracy: 90.67%
Hidden_dim: 47, Validation Loss: 0.3622, Validation Accuracy: 90.47%
Hidden_dim: 48, Validation Loss: 0.4446, Validation Accuracy: 88.35%
