Hidden_dim: 12, Validation Loss: 7.8556, Validation Accuracy: 45.01%
Hidden_dim: 13, Validation Loss: 5.3322, Validation Accuracy: 41.51%
Hidden_dim: 14, Validation Loss: 7.0388, Validation Accuracy: 36.91%
Hidden_dim: 15, Validation Loss: 1.4606, Validation Accuracy: 74.33%
Hidden_dim: 16, Validation Loss: 1.5181, Validation Accuracy: 75.58%
Hidden_dim: 17, Validation Loss: 3.0324, Validation Accuracy: 64.86%
Hidden_dim: 18, Validation Loss: 2.7149, Validation Accuracy: 59.28%
Hidden_dim: 19, Validation Loss: 3.0723, Validation Accuracy: 61.82%
Hidden_dim: 20, Validation Loss: 5.1727, Validation Accuracy: 47.95%
Hidden_dim: 21, Validation Loss: 3.8672, Validation Accuracy: 51.22%
Hidden_dim: 22, Validation Loss: 6.5300, Validation Accuracy: 46.18%
Hidden_dim: 23, Validation Loss: 3.3907, Validation Accuracy: 64.62%
Hidden_dim: 24, Validation Loss: 8.0320, Validation Accuracy: 35.43%
Hidden_dim: 25, Validation Loss: 4.3093, Validation Accuracy: 56.20%
Hidden_dim: 26, Validation Loss: 4.0563, Validation Accuracy: 55.39%
Hidden_dim: 27, Validation Loss: 5.6042, Validation Accuracy: 43.38%
Hidden_dim: 28, Validation Loss: 4.0532, Validation Accuracy: 54.22%
Hidden_dim: 29, Validation Loss: 3.2899, Validation Accuracy: 59.85%
Hidden_dim: 30, Validation Loss: 4.5406, Validation Accuracy: 48.21%
Hidden_dim: 31, Validation Loss: 2.0499, Validation Accuracy: 71.01%
Hidden_dim: 32, Validation Loss: 4.7485, Validation Accuracy: 51.27%
Hidden_dim: 33, Validation Loss: 3.4569, Validation Accuracy: 58.20%
Hidden_dim: 34, Validation Loss: 2.6106, Validation Accuracy: 61.84%
Hidden_dim: 35, Validation Loss: 2.9260, Validation Accuracy: 61.35%
Hidden_dim: 36, Validation Loss: 3.7886, Validation Accuracy: 54.10%
Hidden_dim: 37, Validation Loss: 4.0247, Validation Accuracy: 50.38%
Hidden_dim: 38, Validation Loss: 2.8213, Validation Accuracy: 66.64%
Hidden_dim: 39, Validation Loss: 2.8950, Validation Accuracy: 64.59%
Hidden_dim: 40, Validation Loss: 3.2731, Validation Accuracy: 58.06%
Hidden_dim: 41, Validation Loss: 4.0677, Validation Accuracy: 54.41%
Hidden_dim: 42, Validation Loss: 5.3012, Validation Accuracy: 43.66%
Hidden_dim: 43, Validation Loss: 4.9409, Validation Accuracy: 47.68%
Hidden_dim: 44, Validation Loss: 5.1130, Validation Accuracy: 44.32%
Hidden_dim: 45, Validation Loss: 3.0437, Validation Accuracy: 59.17%
Hidden_dim: 46, Validation Loss: 4.6976, Validation Accuracy: 47.66%
Hidden_dim: 47, Validation Loss: 3.0835, Validation Accuracy: 58.67%
Hidden_dim: 48, Validation Loss: 1.8540, Validation Accuracy: 66.40%
