Hidden_dim: 12, Validation Loss: 9.7371, Validation Accuracy: 34.07%
Hidden_dim: 13, Validation Loss: 12.6486, Validation Accuracy: 28.75%
Hidden_dim: 14, Validation Loss: 14.2502, Validation Accuracy: 23.93%
Hidden_dim: 15, Validation Loss: 17.6085, Validation Accuracy: 25.04%
Hidden_dim: 16, Validation Loss: 11.4885, Validation Accuracy: 28.00%
Hidden_dim: 17, Validation Loss: 13.4291, Validation Accuracy: 25.77%
Hidden_dim: 18, Validation Loss: 2.8830, Validation Accuracy: 50.00%
Hidden_dim: 19, Validation Loss: 16.0110, Validation Accuracy: 21.07%
Hidden_dim: 20, Validation Loss: 7.8439, Validation Accuracy: 32.89%
Hidden_dim: 21, Validation Loss: 9.7168, Validation Accuracy: 29.37%
Hidden_dim: 22, Validation Loss: 11.2336, Validation Accuracy: 24.66%
Hidden_dim: 23, Validation Loss: 8.4449, Validation Accuracy: 29.59%
Hidden_dim: 24, Validation Loss: 8.7883, Validation Accuracy: 34.10%
Hidden_dim: 25, Validation Loss: 9.0409, Validation Accuracy: 31.10%
Hidden_dim: 26, Validation Loss: 9.3659, Validation Accuracy: 34.59%
Hidden_dim: 27, Validation Loss: 11.5001, Validation Accuracy: 25.73%
Hidden_dim: 28, Validation Loss: 15.1476, Validation Accuracy: 27.48%
Hidden_dim: 29, Validation Loss: 5.7368, Validation Accuracy: 35.78%
Hidden_dim: 30, Validation Loss: 11.2974, Validation Accuracy: 28.20%
Hidden_dim: 31, Validation Loss: 8.7017, Validation Accuracy: 32.37%
Hidden_dim: 32, Validation Loss: 11.7477, Validation Accuracy: 31.18%
Hidden_dim: 33, Validation Loss: 1.9817, Validation Accuracy: 62.87%
Hidden_dim: 34, Validation Loss: 5.6612, Validation Accuracy: 42.18%
Hidden_dim: 35, Validation Loss: 6.1205, Validation Accuracy: 38.51%
Hidden_dim: 36, Validation Loss: 15.3799, Validation Accuracy: 25.70%
Hidden_dim: 37, Validation Loss: 11.7321, Validation Accuracy: 24.95%
Hidden_dim: 38, Validation Loss: 12.6469, Validation Accuracy: 25.06%
Hidden_dim: 39, Validation Loss: 13.9622, Validation Accuracy: 25.63%
Hidden_dim: 40, Validation Loss: 10.6248, Validation Accuracy: 26.18%
Hidden_dim: 41, Validation Loss: 5.6883, Validation Accuracy: 36.49%
Hidden_dim: 42, Validation Loss: 6.6273, Validation Accuracy: 35.82%
Hidden_dim: 43, Validation Loss: 11.9562, Validation Accuracy: 27.02%
Hidden_dim: 44, Validation Loss: 7.5024, Validation Accuracy: 34.35%
Hidden_dim: 45, Validation Loss: 9.6257, Validation Accuracy: 29.93%
Hidden_dim: 46, Validation Loss: 2.2847, Validation Accuracy: 56.43%
Hidden_dim: 47, Validation Loss: 6.8339, Validation Accuracy: 32.36%
Hidden_dim: 48, Validation Loss: 1.1644, Validation Accuracy: 71.63%
