Hidden_dim: 12, Validation Loss: 8.8403, Validation Accuracy: 32.28%
Hidden_dim: 13, Validation Loss: 12.3257, Validation Accuracy: 24.71%
Hidden_dim: 14, Validation Loss: 7.4485, Validation Accuracy: 37.02%
Hidden_dim: 15, Validation Loss: 4.6065, Validation Accuracy: 46.53%
Hidden_dim: 16, Validation Loss: 5.6339, Validation Accuracy: 43.80%
Hidden_dim: 17, Validation Loss: 7.3930, Validation Accuracy: 38.68%
Hidden_dim: 18, Validation Loss: 1.9464, Validation Accuracy: 64.28%
Hidden_dim: 19, Validation Loss: 1.3735, Validation Accuracy: 70.49%
Hidden_dim: 20, Validation Loss: 4.4090, Validation Accuracy: 50.43%
Hidden_dim: 21, Validation Loss: 5.2899, Validation Accuracy: 40.30%
Hidden_dim: 22, Validation Loss: 7.6998, Validation Accuracy: 34.57%
Hidden_dim: 23, Validation Loss: 10.8360, Validation Accuracy: 26.88%
Hidden_dim: 24, Validation Loss: 12.5262, Validation Accuracy: 27.97%
Hidden_dim: 25, Validation Loss: 3.1298, Validation Accuracy: 53.62%
Hidden_dim: 26, Validation Loss: 7.0346, Validation Accuracy: 36.48%
Hidden_dim: 27, Validation Loss: 7.1908, Validation Accuracy: 40.62%
Hidden_dim: 28, Validation Loss: 11.2987, Validation Accuracy: 29.11%
Hidden_dim: 29, Validation Loss: 5.5987, Validation Accuracy: 39.60%
Hidden_dim: 30, Validation Loss: 10.1472, Validation Accuracy: 31.30%
Hidden_dim: 31, Validation Loss: 6.4164, Validation Accuracy: 39.32%
Hidden_dim: 32, Validation Loss: 7.4096, Validation Accuracy: 36.44%
Hidden_dim: 33, Validation Loss: 3.1087, Validation Accuracy: 55.33%
Hidden_dim: 34, Validation Loss: 5.0764, Validation Accuracy: 43.39%
Hidden_dim: 35, Validation Loss: 10.4679, Validation Accuracy: 30.20%
Hidden_dim: 36, Validation Loss: 5.7995, Validation Accuracy: 41.11%
Hidden_dim: 37, Validation Loss: 5.5578, Validation Accuracy: 47.15%
Hidden_dim: 38, Validation Loss: 10.5843, Validation Accuracy: 29.51%
Hidden_dim: 39, Validation Loss: 11.2078, Validation Accuracy: 29.85%
Hidden_dim: 40, Validation Loss: 6.6980, Validation Accuracy: 40.07%
Hidden_dim: 41, Validation Loss: 7.2827, Validation Accuracy: 34.25%
Hidden_dim: 42, Validation Loss: 4.8458, Validation Accuracy: 43.51%
Hidden_dim: 43, Validation Loss: 7.9217, Validation Accuracy: 36.42%
Hidden_dim: 44, Validation Loss: 6.1678, Validation Accuracy: 43.10%
Hidden_dim: 45, Validation Loss: 2.2843, Validation Accuracy: 62.85%
Hidden_dim: 46, Validation Loss: 2.7503, Validation Accuracy: 58.50%
Hidden_dim: 47, Validation Loss: 6.3814, Validation Accuracy: 38.34%
Hidden_dim: 48, Validation Loss: 1.0549, Validation Accuracy: 72.51%
