Hidden_dim: 12, Validation Loss: 3.4687, Validation Accuracy: 59.19%
Hidden_dim: 13, Validation Loss: 3.7360, Validation Accuracy: 64.49%
Hidden_dim: 14, Validation Loss: 5.8611, Validation Accuracy: 56.63%
Hidden_dim: 15, Validation Loss: 3.5081, Validation Accuracy: 60.82%
Hidden_dim: 16, Validation Loss: 1.8957, Validation Accuracy: 72.17%
Hidden_dim: 17, Validation Loss: 2.4939, Validation Accuracy: 66.47%
Hidden_dim: 18, Validation Loss: 3.7658, Validation Accuracy: 62.12%
Hidden_dim: 19, Validation Loss: 2.3543, Validation Accuracy: 67.20%
Hidden_dim: 20, Validation Loss: 3.7421, Validation Accuracy: 60.94%
Hidden_dim: 21, Validation Loss: 3.2404, Validation Accuracy: 63.74%
Hidden_dim: 22, Validation Loss: 2.2847, Validation Accuracy: 69.25%
Hidden_dim: 23, Validation Loss: 1.4991, Validation Accuracy: 75.05%
Hidden_dim: 24, Validation Loss: 1.1665, Validation Accuracy: 77.61%
Hidden_dim: 25, Validation Loss: 2.5836, Validation Accuracy: 66.15%
Hidden_dim: 26, Validation Loss: 3.1884, Validation Accuracy: 63.53%
Hidden_dim: 27, Validation Loss: 2.7813, Validation Accuracy: 62.62%
Hidden_dim: 28, Validation Loss: 1.8250, Validation Accuracy: 71.70%
Hidden_dim: 29, Validation Loss: 2.1026, Validation Accuracy: 65.71%
Hidden_dim: 30, Validation Loss: 1.0629, Validation Accuracy: 77.17%
Hidden_dim: 31, Validation Loss: 1.2594, Validation Accuracy: 73.41%
Hidden_dim: 32, Validation Loss: 1.3808, Validation Accuracy: 72.62%
Hidden_dim: 33, Validation Loss: 2.5390, Validation Accuracy: 64.86%
Hidden_dim: 34, Validation Loss: 2.7620, Validation Accuracy: 62.53%
Hidden_dim: 35, Validation Loss: 2.2847, Validation Accuracy: 67.03%
Hidden_dim: 36, Validation Loss: 2.0405, Validation Accuracy: 70.59%
Hidden_dim: 37, Validation Loss: 1.5735, Validation Accuracy: 72.08%
Hidden_dim: 38, Validation Loss: 1.5205, Validation Accuracy: 75.38%
Hidden_dim: 39, Validation Loss: 1.5699, Validation Accuracy: 74.20%
Hidden_dim: 40, Validation Loss: 2.3101, Validation Accuracy: 68.20%
Hidden_dim: 41, Validation Loss: 2.1750, Validation Accuracy: 67.67%
Hidden_dim: 42, Validation Loss: 2.8132, Validation Accuracy: 62.42%
Hidden_dim: 43, Validation Loss: 1.7520, Validation Accuracy: 71.07%
Hidden_dim: 44, Validation Loss: 2.2157, Validation Accuracy: 67.22%
Hidden_dim: 45, Validation Loss: 1.3730, Validation Accuracy: 71.95%
Hidden_dim: 46, Validation Loss: 1.8551, Validation Accuracy: 69.03%
Hidden_dim: 47, Validation Loss: 1.6776, Validation Accuracy: 69.23%
Hidden_dim: 48, Validation Loss: 1.3596, Validation Accuracy: 74.60%
